Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
KUB,Williams,12.0,117.87100000000001,2.0,SOFT,1.0,17.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.779563932002958
KUB,Williams,28.0,119.215,3.0,MEDIUM,2.0,18.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.02790096082779
GIO,Alfa Romeo,17.0,120.447,2.0,MEDIUM,1.0,14.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,22.255543237250556
GIO,Alfa Romeo,41.0,117.141,2.0,MEDIUM,25.0,13.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,21.644678492239468
HAM,Mercedes,23.0,115.83200000000001,2.0,HARD,1.0,1.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.249678957989364
HAM,Mercedes,37.0,116.03800000000001,3.0,MEDIUM,4.0,1.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.28747018895616
BOT,Mercedes,22.0,115.432,2.0,HARD,1.0,3.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.176297926985875
BOT,Mercedes,37.0,116.22300000000001,3.0,MEDIUM,1.0,3.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.32140891579527
VET,Ferrari,19.0,116.84,2.0,HARD,1.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.434599156118146
VET,Ferrari,36.0,114.69900000000001,3.0,MEDIUM,1.0,4.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.04182718767199
VER,Red Bull Racing,18.0,117.07400000000001,2.0,HARD,1.0,6.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.477527059255188
VER,Red Bull Racing,35.0,115.105,3.0,MEDIUM,1.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.116308934140527
LEC,Ferrari,23.0,116.96700000000001,2.0,HARD,1.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.457897633461755
LEC,Ferrari,43.0,117.26700000000001,3.0,MEDIUM,1.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.512933406714367
GAS,Red Bull Racing,20.0,117.33200000000001,2.0,HARD,1.0,8.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.524857824252432
GAS,Red Bull Racing,40.0,116.881,3.0,MEDIUM,1.0,6.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.442120711796
GAS,Red Bull Racing,54.0,116.679,4.0,SOFT,3.0,6.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.405063291139243
RIC,Alpine,19.0,118.518,2.0,HARD,1.0,10.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.742432581177766
PER,Aston Martin,21.0,118.72500000000001,2.0,HARD,1.0,9.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.780407264722072
RAI,Alfa Romeo,26.0,118.75500000000001,2.0,HARD,1.0,10.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.785910842047333
ALB,AlphaTauri,20.0,117.69500000000001,2.0,HARD,1.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.591451109888098
GRO,Haas F1 Team,9.0,118.43700000000001,2.0,HARD,1.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.727572922399563
GRO,Haas F1 Team,36.0,117.777,3.0,MEDIUM,1.0,13.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.60649422124381
STR,Aston Martin,21.0,118.938,2.0,HARD,1.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.819482663731428
STR,Aston Martin,45.0,115.83600000000001,3.0,SOFT,1.0,13.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.250412768299398
MAG,Haas F1 Team,10.0,119.108,2.0,HARD,1.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.85066960190791
MAG,Haas F1 Team,34.0,116.557,3.0,MEDIUM,1.0,14.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.382682076683178
SAI,McLaren,2.0,141.056,2.0,HARD,1.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,25.877086773069166
SAI,McLaren,37.0,117.822,3.0,SOFT,1.0,15.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.614749587231703
GIO,Alfa Romeo,8.0,120.17,2.0,MEDIUM,1.0,18.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.045496239222164
GIO,Alfa Romeo,31.0,121.21600000000001,3.0,MEDIUM,1.0,15.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.23738763529628
RUS,Williams,23.0,119.84100000000001,2.0,HARD,1.0,18.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.985140341221797
RUS,Williams,50.0,116.67,3.0,SOFT,1.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.403412217941664
KUB,Williams,27.0,130.883,2.0,HARD,1.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,24.01082370207302
NOR,McLaren,2.0,146.586,2.0,HARD,1.0,20.0,2019,China,False,4,5.451,3,,,,3,4,2,4,26.891579526692354
NOR,McLaren,18.0,132.322,3.0,MEDIUM,2.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,24.274811961108057
NOR,McLaren,35.0,120.21400000000001,4.0,SOFT,1.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.053568152632547
KVY,AlphaTauri,8.0,113.099,2.0,MEDIUM,8.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,20.748303063658046
KVY,AlphaTauri,26.0,121.10400000000001,3.0,HARD,1.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.216840946615303
KVY,AlphaTauri,31.0,137.854,4.0,SOFT,1.0,18.0,2019,China,False,4,5.451,3,,,,3,4,2,4,25.289671619886263
HUL,Alpine,12.0,120.69600000000001,2.0,HARD,1.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.14199229499175
GAS,Red Bull Racing,38.0,94.15100000000001,2.0,SOFT,1.0,11.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.83838575217886
PER,Aston Martin,14.0,94.93900000000001,2.0,HARD,1.0,17.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.987684729064043
LEC,Ferrari,29.0,93.40400000000001,2.0,HARD,1.0,5.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.696854869268666
STR,Aston Martin,28.0,94.0,2.0,HARD,1.0,10.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.809776430466087
MAG,Haas F1 Team,15.0,95.021,2.0,MEDIUM,1.0,10.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.003220917014023
ALB,AlphaTauri,15.0,94.855,2.0,MEDIUM,1.0,15.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.971769609700647
KVY,AlphaTauri,27.0,95.659,2.0,HARD,2.0,11.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.124100037893143
