,GP,Laps
0,Bahrain,57
1,Saudi Arabia,50
2,Australia,58
3,Japan,53
4,China,56
5,Miami,57
6,Imola,63
7,Monaco,78
8,Spain,66
9,Canada,70
10,Austria,71
11,Great Britain,52
12,Hungary,70
13,Belgium,44
14,Netherlands,72
15,Azerbaijan,51
16,Singapore,62
17,Austin,56
18,Mexico,71
19,Brazil,71
20,Qatar,57
21,Abu Dhabi,58
22,Monza,53
