Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0_x,Length_x,Abrasion_x,Traction_x,Braking_x,TrackEvo_x,Grip_x,Lateral_x,Downforce_x,TyreStress_x,LapTimePerKM,Unnamed: 0_y,Length_y,Abrasion_y,Traction_y,Braking_y,TrackEvo_y,Grip_y,Lateral_y,Downforce_y,TyreStress_y,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress
BOT,Mercedes,37.0,116.22300000000001,3.0,MEDIUM,1.0,3.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.32140891579527,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
VET,Ferrari,19.0,116.84,2.0,HARD,1.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.434599156118146,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
VET,Ferrari,36.0,114.69900000000001,3.0,MEDIUM,1.0,4.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.04182718767199,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
VER,Red Bull Racing,18.0,117.07400000000001,2.0,HARD,1.0,6.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.477527059255188,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
VER,Red Bull Racing,35.0,115.105,3.0,MEDIUM,1.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.116308934140527,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
LEC,Ferrari,23.0,116.96700000000001,2.0,HARD,1.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.457897633461755,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
LEC,Ferrari,43.0,117.26700000000001,3.0,MEDIUM,1.0,5.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.512933406714367,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
GAS,Red Bull Racing,20.0,117.33200000000001,2.0,HARD,1.0,8.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.524857824252432,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
GAS,Red Bull Racing,40.0,116.881,3.0,MEDIUM,1.0,6.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.442120711796,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
GAS,Red Bull Racing,54.0,116.679,4.0,SOFT,3.0,6.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.405063291139243,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
RIC,Alpine,19.0,118.518,2.0,HARD,1.0,10.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.742432581177766,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
PER,Aston Martin,21.0,118.72500000000001,2.0,HARD,1.0,9.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.780407264722072,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
RAI,Alfa Romeo,26.0,118.75500000000001,2.0,HARD,1.0,10.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.785910842047333,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
ALB,AlphaTauri,20.0,117.69500000000001,2.0,HARD,1.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.591451109888098,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
GRO,Haas F1 Team,9.0,118.43700000000001,2.0,HARD,1.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.727572922399563,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
GRO,Haas F1 Team,36.0,117.777,3.0,MEDIUM,1.0,13.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.60649422124381,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
STR,Aston Martin,21.0,118.938,2.0,HARD,1.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.819482663731428,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
STR,Aston Martin,45.0,115.83600000000001,3.0,SOFT,1.0,13.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.250412768299398,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
MAG,Haas F1 Team,10.0,119.108,2.0,HARD,1.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.85066960190791,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
MAG,Haas F1 Team,34.0,116.557,3.0,MEDIUM,1.0,14.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.382682076683178,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
SAI,McLaren,2.0,141.056,2.0,HARD,1.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,25.877086773069166,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
SAI,McLaren,37.0,117.822,3.0,SOFT,1.0,15.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.614749587231703,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
GIO,Alfa Romeo,8.0,120.17,2.0,MEDIUM,1.0,18.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.045496239222164,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
GIO,Alfa Romeo,31.0,121.21600000000001,3.0,MEDIUM,1.0,15.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.23738763529628,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
RUS,Williams,23.0,119.84100000000001,2.0,HARD,1.0,18.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.985140341221797,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
RUS,Williams,50.0,116.67,3.0,SOFT,1.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,21.403412217941664,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
KUB,Williams,27.0,130.883,2.0,HARD,1.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,24.01082370207302,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
NOR,McLaren,2.0,146.586,2.0,HARD,1.0,20.0,2019,China,False,4,5.451,3,,,,3,4,2,4,26.891579526692354,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
NOR,McLaren,18.0,132.322,3.0,MEDIUM,2.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,24.274811961108057,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
NOR,McLaren,35.0,120.21400000000001,4.0,SOFT,1.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.053568152632547,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
KVY,AlphaTauri,8.0,113.099,2.0,MEDIUM,8.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,20.748303063658046,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
KVY,AlphaTauri,26.0,121.10400000000001,3.0,HARD,1.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.216840946615303,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
KVY,AlphaTauri,31.0,137.854,4.0,SOFT,1.0,18.0,2019,China,False,4,5.451,3,,,,3,4,2,4,25.289671619886263,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
HUL,Alpine,12.0,120.69600000000001,2.0,HARD,1.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,22.14199229499175,4,5.451,3,,,,3,4,2,4,4,5.451,3,,,,3,4,2,4
GAS,Red Bull Racing,38.0,94.15100000000001,2.0,SOFT,1.0,11.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.83838575217886,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
PER,Aston Martin,14.0,94.93900000000001,2.0,HARD,1.0,17.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.987684729064043,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
LEC,Ferrari,29.0,93.40400000000001,2.0,HARD,1.0,5.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.696854869268666,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
STR,Aston Martin,28.0,94.0,2.0,HARD,1.0,10.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.809776430466087,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
MAG,Haas F1 Team,15.0,95.021,2.0,MEDIUM,1.0,10.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.003220917014023,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
ALB,AlphaTauri,15.0,94.855,2.0,MEDIUM,1.0,15.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.971769609700647,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
KVY,AlphaTauri,27.0,95.659,2.0,HARD,2.0,11.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.124100037893143,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
HUL,Alpine,14.0,94.476,2.0,HARD,1.0,13.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.89996210685866,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
RIC,Alpine,2.0,98.185,2.0,HARD,1.0,20.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.602690413035244,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
VER,Red Bull Racing,26.0,93.652,2.0,MEDIUM,1.0,5.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.74384236453202,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
NOR,McLaren,16.0,95.822,2.0,HARD,1.0,13.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.1549829480864,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
HAM,Mercedes,16.0,95.64200000000001,2.0,MEDIUM,1.0,4.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.120879120879124,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
VET,Ferrari,15.0,93.69200000000001,2.0,MEDIUM,1.0,5.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.751420992800305,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
RUS,Williams,27.0,95.72,2.0,SOFT,1.0,18.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.135657446002273,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
RUS,Williams,43.0,99.131,3.0,HARD,1.0,16.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.781924971580146,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
RAI,Alfa Romeo,13.0,95.905,2.0,MEDIUM,1.0,15.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.170708601743087,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
BOT,Mercedes,24.0,93.805,2.0,MEDIUM,1.0,2.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.772830617658208,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
GRO,Haas F1 Team,16.0,95.081,2.0,MEDIUM,1.0,14.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.01458885941645,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
KUB,Williams,2.0,99.74000000000001,2.0,MEDIUM,2.0,19.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.897309586964763,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
KUB,Williams,29.0,96.902,3.0,SOFT,1.0,19.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,18.35960591133005,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
KUB,Williams,45.0,101.93700000000001,4.0,SOFT,3.0,17.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,19.313565744600233,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
GIO,Alfa Romeo,28.0,94.894,2.0,SOFT,1.0,17.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,17.979158772262224,2,5.278,2,2.0,2.0,4.0,3,3,3,3,2,5.278,2,2.0,2.0,4.0,3,3,3,3
GAS,AlphaTauri,19.0,115.70400000000001,2.0,MEDIUM,1.0,12.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.924918202169795,3,5.807,4,3.0,2.0,3.0,3,5,4,5,3,5.807,4,3.0,2.0,3.0,3,5,4,5
PER,Aston Martin,20.0,114.62700000000001,2.0,MEDIUM,1.0,13.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.739452385052523,3,5.807,4,3.0,2.0,3.0,3,5,4,5,3,5.807,4,3.0,2.0,3.0,3,5,4,5
PER,Aston Martin,42.0,112.784,3.0,SOFT,1.0,11.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.422076803857415,3,5.807,4,3.0,2.0,3.0,3,5,4,5,3,5.807,4,3.0,2.0,3.0,3,5,4,5
LEC,Ferrari,4.0,121.14200000000001,2.0,MEDIUM,1.0,20.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.86137420354744,3,5.807,4,3.0,2.0,3.0,3,5,4,5,3,5.807,4,3.0,2.0,3.0,3,5,4,5
LEC,Ferrari,26.0,113.364,3.0,SOFT,1.0,12.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.521956259686586,3,5.807,4,3.0,2.0,3.0,3,5,4,5,3,5.807,4,3.0,2.0,3.0,3,5,4,5
