,GP,Circuit,PitstopT,Driver,Year
2960,6,Monaco,33.706,tsunoda,2023
2961,6,Monaco,25.946,sargeant,2023
2962,6,Monaco,24.414,alonso,2023
2963,6,Monaco,24.539,de_vries,2023
2964,6,Monaco,30.980,russell,2023
2965,6,Monaco,24.707,ocon,2023
2966,6,Monaco,26.685,hamilton,2023
2967,6,Monaco,29.949,gasly,2023
2968,6,Monaco,24.217,perez,2023
2969,6,Monaco,24.798,max_verstappen,2023
2970,6,Monaco,25.851,piastri,2023
2971,6,Monaco,33.428,norris,2023
2972,6,Monaco,25.916,alonso,2023
2973,6,Monaco,34.725,hulkenberg,2023
2974,6,Monaco,25.713,leclerc,2023
2975,6,Monaco,29.300,sainz,2023
2976,6,Monaco,51.052,kevin_magnussen,2023
2977,6,Monaco,29.337,perez,2023
2978,6,Monaco,25.672,hulkenberg,2023
2979,7,Spain,37.736,norris,2023
2980,7,Spain,23.691,bottas,2023
2981,7,Spain,22.298,hulkenberg,2023
2982,7,Spain,23.430,zhou,2023
2983,7,Spain,22.522,de_vries,2023
2984,7,Spain,22.176,tsunoda,2023
2985,7,Spain,22.124,kevin_magnussen,2023
2986,7,Spain,22.112,ocon,2023
2987,7,Spain,22.355,stroll,2023
2988,7,Spain,22.321,sainz,2023
2989,7,Spain,21.778,leclerc,2023
2990,7,Spain,23.319,albon,2023
2991,7,Spain,22.370,piastri,2023
2992,7,Spain,22.583,sargeant,2023
2993,7,Spain,22.558,alonso,2023
2994,7,Spain,23.388,gasly,2023
2995,7,Spain,22.850,norris,2023
2996,7,Spain,22.575,hamilton,2023
2997,7,Spain,24.800,kevin_magnussen,2023
2998,7,Spain,22.275,russell,2023
2999,7,Spain,22.241,max_verstappen,2023
3000,7,Spain,23.257,hulkenberg,2023
3001,7,Spain,21.775,perez,2023
3002,7,Spain,23.371,stroll,2023
3003,7,Spain,22.009,tsunoda,2023
3004,7,Spain,24.110,ocon,2023
3005,7,Spain,22.889,zhou,2023
3006,7,Spain,23.827,sargeant,2023
3007,7,Spain,23.449,albon,2023
3008,7,Spain,21.976,de_vries,2023
3009,7,Spain,22.862,piastri,2023
3010,7,Spain,23.610,gasly,2023
3011,7,Spain,24.097,bottas,2023
3012,7,Spain,22.375,sainz,2023
3013,7,Spain,23.003,leclerc,2023
3014,7,Spain,22.291,kevin_magnussen,2023
3015,7,Spain,24.484,hulkenberg,2023
3016,7,Spain,22.896,alonso,2023
3017,7,Spain,22.054,russell,2023
3018,7,Spain,22.731,hamilton,2023
3019,7,Spain,21.537,perez,2023
3020,7,Spain,22.062,norris,2023
3021,8,Canada,23.646,tsunoda,2023
3022,8,Canada,27.515,gasly,2023
3023,8,Canada,24.880,hulkenberg,2023
3024,8,Canada,23.711,stroll,2023
3025,8,Canada,24.960,de_vries,2023
3026,8,Canada,23.644,max_verstappen,2023
3027,8,Canada,24.339,hamilton,2023
3028,8,Canada,24.031,alonso,2023
3029,8,Canada,24.402,ocon,2023
3030,8,Canada,24.828,piastri,2023
3031,8,Canada,25.862,norris,2023
3032,8,Canada,25.064,albon,2023
3033,8,Canada,24.161,zhou,2023
3034,8,Canada,1:28.943,russell,2023
3035,8,Canada,23.839,stroll,2023
3036,8,Canada,24.200,hulkenberg,2023
3037,8,Canada,27.509,zhou,2023
3038,8,Canada,24.117,gasly,2023
3039,8,Canada,27.523,tsunoda,2023
3040,8,Canada,23.570,norris,2023
3041,8,Canada,24.909,kevin_magnussen,2023
3042,8,Canada,23.698,ocon,2023
3043,8,Canada,24.038,bottas,2023
3044,8,Canada,23.281,perez,2023
3045,8,Canada,23.436,piastri,2023
3046,8,Canada,24.133,sainz,2023
3047,8,Canada,24.343,leclerc,2023
3048,8,Canada,23.749,hamilton,2023
3049,8,Canada,23.928,alonso,2023
3050,8,Canada,23.910,max_verstappen,2023
3051,8,Canada,23.786,de_vries,2023
3052,8,Canada,24.515,kevin_magnussen,2023
3053,9,Austria,26.587,kevin_magnussen,2023
3054,9,Austria,29.691,tsunoda,2023
3055,9,Austria,16.369,max_verstappen,2023
3056,9,Austria,16.393,leclerc,2023
3057,9,Austria,16.380,sainz,2023
3058,9,Austria,16.415,hamilton,2023
3059,9,Austria,18.076,norris,2023
3060,9,Austria,16.600,alonso,2023
3061,9,Austria,16.778,hulkenberg,2023
3062,9,Austria,16.646,stroll,2023
3063,9,Austria,16.380,gasly,2023
3064,9,Austria,16.737,albon,2023
3065,9,Austria,17.946,russell,2023
3066,9,Austria,18.143,ocon,2023
3067,9,Austria,17.428,perez,2023
3068,9,Austria,17.467,zhou,2023
3069,9,Austria,17.324,piastri,2023
3070,9,Austria,17.337,sargeant,2023
3071,9,Austria,17.130,bottas,2023
3072,9,Austria,17.033,de_vries,2023
3073,9,Austria,25.654,kevin_magnussen,2023
3074,9,Austria,16.246,tsunoda,2023
3075,9,Austria,24.374,zhou,2023
3076,9,Austria,21.891,hulkenberg,2023
3077,9,Austria,21.333,de_vries,2023
3078,9,Austria,21.993,hamilton,2023
3079,9,Austria,21.290,norris,2023
3080,9,Austria,21.814,gasly,2023
3081,9,Austria,21.562,albon,2023
3082,9,Austria,22.262,russell,2023
3083,9,Austria,22.028,ocon,2023
3084,9,Austria,22.467,piastri,2023
3085,9,Austria,23.194,sargeant,2023
3086,9,Austria,23.425,leclerc,2023
3087,9,Austria,26.283,sainz,2023
3088,9,Austria,22.371,alonso,2023
3089,9,Austria,24.332,stroll,2023
3090,9,Austria,31.785,bottas,2023
3091,9,Austria,29.912,piastri,2023
3092,9,Austria,27.286,tsunoda,2023
3093,9,Austria,21.365,max_verstappen,2023
3094,9,Austria,21.655,perez,2023
3095,9,Austria,22.250,kevin_magnussen,2023
3096,9,Austria,22.050,stroll,2023
3097,9,Austria,21.074,de_vries,2023
3098,9,Austria,21.910,zhou,2023
3099,9,Austria,30.427,ocon,2023
3100,9,Austria,21.975,bottas,2023
3101,9,Austria,22.088,norris,2023
3102,9,Austria,21.702,russell,2023
3103,9,Austria,27.683,albon,2023
3104,9,Austria,22.313,piastri,2023
3105,9,Austria,27.724,hamilton,2023
3106,9,Austria,21.543,sargeant,2023
3107,9,Austria,21.392,tsunoda,2023
3108,9,Austria,21.993,alonso,2023
3109,9,Austria,27.804,gasly,2023
3110,9,Austria,28.583,sainz,2023
3111,9,Austria,21.470,leclerc,2023
3112,9,Austria,21.641,max_verstappen,2023
3113,9,Austria,21.267,perez,2023
3114,9,Austria,21.837,stroll,2023
3115,10,Great Britain,41.972,hulkenberg,2023
3116,10,Great Britain,28.353,tsunoda,2023
3117,10,Great Britain,28.244,leclerc,2023
3118,10,Great Britain,29.177,zhou,2023
3119,10,Great Britain,28.869,sainz,2023
3120,10,Great Britain,28.242,de_vries,2023
3121,10,Great Britain,29.455,russell,2023
3122,10,Great Britain,28.060,perez,2023
3123,10,Great Britain,28.655,piastri,2023
3124,10,Great Britain,28.847,sargeant,2023
3125,10,Great Britain,28.458,gasly,2023
3126,10,Great Britain,28.561,stroll,2023
3127,10,Great Britain,29.634,albon,2023
3128,10,Great Britain,28.805,leclerc,2023
3129,10,Great Britain,29.662,bottas,2023
3130,10,Great Britain,28.603,tsunoda,2023
3131,10,Great Britain,28.413,de_vries,2023
3132,10,Great Britain,30.003,hulkenberg,2023
3133,10,Great Britain,29.056,max_verstappen,2023
3134,10,Great Britain,28.438,norris,2023
3135,10,Great Britain,29.169,hamilton,2023
3136,10,Great Britain,28.679,alonso,2023
3137,10,Great Britain,28.709,zhou,2023
3138,11,Hungary,22.076,albon,2023
3139,11,Hungary,21.910,stroll,2023
3140,11,Hungary,26.170,tsunoda,2023
3141,11,Hungary,22.114,bottas,2023
3142,11,Hungary,29.211,zhou,2023
3143,11,Hungary,24.001,sargeant,2023
3144,11,Hungary,22.753,kevin_magnussen,2023
3145,11,Hungary,21.402,sainz,2023
3146,11,Hungary,21.974,hamilton,2023
3147,11,Hungary,22.922,hulkenberg,2023
3148,11,Hungary,21.541,norris,2023
3149,11,Hungary,28.404,leclerc,2023
3150,11,Hungary,21.171,piastri,2023
3151,11,Hungary,21.958,ricciardo,2023
3152,11,Hungary,22.916,alonso,2023
3153,11,Hungary,21.407,max_verstappen,2023
3154,11,Hungary,21.862,perez,2023
3155,11,Hungary,21.886,russell,2023
3156,11,Hungary,22.203,ricciardo,2023
3157,11,Hungary,21.762,albon,2023
3158,11,Hungary,22.403,stroll,2023
3159,11,Hungary,22.197,sargeant,2023
3160,11,Hungary,21.955,hulkenberg,2023
3161,11,Hungary,22.853,zhou,2023
3162,11,Hungary,23.242,bottas,2023
3163,11,Hungary,22.152,kevin_magnussen,2023
3164,11,Hungary,22.030,piastri,2023
3165,11,Hungary,20.880,perez,2023
3166,11,Hungary,21.452,leclerc,2023
3167,11,Hungary,24.152,alonso,2023
3168,11,Hungary,21.430,norris,2023
3169,11,Hungary,22.051,sainz,2023
3170,11,Hungary,21.181,tsunoda,2023
3171,11,Hungary,21.675,russell,2023
3172,11,Hungary,21.728,hamilton,2023
3173,12,Belgium,25.012,norris,2023
3174,12,Belgium,23.638,kevin_magnussen,2023
3175,12,Belgium,22.843,ricciardo,2023
3176,12,Belgium,23.085,ocon,2023
3177,12,Belgium,23.362,bottas,2023
3178,12,Belgium,25.015,albon,2023
3179,12,Belgium,23.303,sainz,2023
3180,12,Belgium,24.449,zhou,2023
3181,12,Belgium,23.570,sargeant,2023
3182,12,Belgium,22.610,tsunoda,2023
3183,12,Belgium,23.085,alonso,2023
3184,12,Belgium,23.090,hamilton,2023
3185,12,Belgium,24.571,hulkenberg,2023
3186,12,Belgium,23.684,perez,2023
3187,12,Belgium,23.224,leclerc,2023
3188,12,Belgium,22.887,max_verstappen,2023
3189,12,Belgium,23.744,norris,2023
3190,12,Belgium,25.397,stroll,2023
3191,12,Belgium,23.837,russell,2023
3192,12,Belgium,23.290,ricciardo,2023
3193,12,Belgium,25.664,gasly,2023
3194,12,Belgium,23.596,albon,2023
3195,12,Belgium,22.737,tsunoda,2023
3196,12,Belgium,23.786,bottas,2023
3197,12,Belgium,25.238,hulkenberg,2023
3198,12,Belgium,23.938,sargeant,2023
3199,12,Belgium,23.339,ocon,2023
3200,12,Belgium,23.572,kevin_magnussen,2023
3201,12,Belgium,24.045,zhou,2023
3202,12,Belgium,23.023,hamilton,2023
3203,12,Belgium,23.148,leclerc,2023
3204,12,Belgium,22.710,perez,2023
3205,12,Belgium,23.798,alonso,2023
3206,12,Belgium,23.012,max_verstappen,2023
3207,12,Belgium,23.529,albon,2023
3208,12,Belgium,23.109,sargeant,2023
3209,13,Netherlands,22.666,perez,2023
3210,13,Netherlands,32.686,leclerc,2023
3211,13,Netherlands,28.469,gasly,2023
3212,13,Netherlands,23.088,zhou,2023
3213,13,Netherlands,32.321,tsunoda,2023
3214,13,Netherlands,42.641,lawson,2023
3215,13,Netherlands,31.341,kevin_magnussen,2023
3216,13,Netherlands,20.379,max_verstappen,2023
3217,13,Netherlands,20.647,alonso,2023
3218,13,Netherlands,20.973,sainz,2023
3219,13,Netherlands,22.534,ocon,2023
3220,13,Netherlands,20.170,norris,2023
3221,13,Netherlands,20.266,hamilton,2023
3222,13,Netherlands,21.201,russell,2023
3223,13,Netherlands,20.036,stroll,2023
3224,13,Netherlands,20.137,kevin_magnussen,2023
3225,13,Netherlands,19.970,hamilton,2023
3226,13,Netherlands,20.208,stroll,2023
3227,13,Netherlands,20.231,zhou,2023
3228,13,Netherlands,20.109,alonso,2023
3229,13,Netherlands,19.511,sainz,2023
3230,13,Netherlands,18.904,tsunoda,2023
3231,13,Netherlands,19.795,ocon,2023
3232,13,Netherlands,20.395,norris,2023
3233,13,Netherlands,30.836,lawson,2023
3234,13,Netherlands,20.148,russell,2023
3235,13,Netherlands,19.289,max_verstappen,2023
3236,13,Netherlands,19.518,gasly,2023
3237,13,Netherlands,27.202,leclerc,2023
3238,13,Netherlands,19.460,perez,2023
3239,13,Netherlands,18.979,piastri,2023
3240,13,Netherlands,20.187,bottas,2023
3241,13,Netherlands,20.438,hulkenberg,2023
3242,13,Netherlands,19.607,russell,2023
3243,13,Netherlands,19.653,stroll,2023
3244,13,Netherlands,19.600,lawson,2023
3245,13,Netherlands,19.923,stroll,2023
3246,13,Netherlands,20.510,kevin_magnussen,2023
3247,13,Netherlands,20.469,zhou,2023
3248,13,Netherlands,19.398,sainz,2023
3249,13,Netherlands,18.878,norris,2023
3250,13,Netherlands,19.024,ocon,2023
3251,13,Netherlands,19.667,albon,2023
3252,13,Netherlands,18.789,perez,2023
3253,13,Netherlands,19.327,hamilton,2023
3254,13,Netherlands,25.404,gasly,2023
3255,13,Netherlands,19.120,piastri,2023
3256,13,Netherlands,19.192,lawson,2023
3257,13,Netherlands,20.213,bottas,2023
3258,13,Netherlands,25.147,alonso,2023
3259,13,Netherlands,19.713,hulkenberg,2023
3260,13,Netherlands,18.706,max_verstappen,2023
3261,13,Netherlands,19.735,bottas,2023
3262,13,Netherlands,19.307,lawson,2023
3263,13,Netherlands,27.596,perez,2023
3264,13,Netherlands,20.417,gasly,2023
3265,13,Netherlands,19.838,sainz,2023
3266,13,Netherlands,20.779,hamilton,2023
3267,13,Netherlands,24.019,russell,2023
3268,13,Netherlands,19.871,norris,2023
3269,13,Netherlands,22.376,piastri,2023
3270,13,Netherlands,20.602,tsunoda,2023
3271,13,Netherlands,21.439,zhou,2023
3272,13,Netherlands,21.532,stroll,2023
3273,13,Netherlands,23.582,hulkenberg,2023
3274,13,Netherlands,23.584,kevin_magnussen,2023
3275,13,Netherlands,19.429,max_verstappen,2023
3276,13,Netherlands,20.655,alonso,2023
3277,13,Netherlands,21.300,albon,2023
3278,13,Netherlands,22.096,ocon,2023
3279,13,Netherlands,20.402,max_verstappen,2023
3280,13,Netherlands,41:01.612,perez,2023
3281,13,Netherlands,40:43.212,norris,2023
3282,13,Netherlands,40:46.251,russell,2023
3283,13,Netherlands,40:43.475,albon,2023
3284,13,Netherlands,40:34.653,piastri,2023
3285,13,Netherlands,40:32.201,ocon,2023
3286,13,Netherlands,40:14.895,tsunoda,2023
3287,13,Netherlands,40:10.734,stroll,2023
3288,13,Netherlands,40:10.704,hulkenberg,2023
3289,13,Netherlands,40:05.113,bottas,2023
3290,13,Netherlands,39:56.340,lawson,2023
3291,13,Netherlands,39:54.733,kevin_magnussen,2023
3292,13,Netherlands,41:23.382,max_verstappen,2023
3293,13,Netherlands,40:55.302,alonso,2023
3294,13,Netherlands,40:43.169,gasly,2023
3295,13,Netherlands,40:43.147,sainz,2023
3296,13,Netherlands,40:31.108,hamilton,2023
3297,13,Netherlands,35.592,perez,2023
3298,13,Netherlands,44.272,norris,2023
3299,13,Netherlands,39.845,russell,2023
3300,13,Netherlands,39.234,albon,2023
3301,13,Netherlands,38.453,piastri,2023
3302,13,Netherlands,37.037,ocon,2023
3303,13,Netherlands,34.901,tsunoda,2023
3304,13,Netherlands,33.553,stroll,2023
3305,13,Netherlands,32.884,hulkenberg,2023
3306,13,Netherlands,32.518,bottas,2023
3307,13,Netherlands,31.306,lawson,2023
3308,13,Netherlands,30.628,kevin_magnussen,2023
3309,14,Monza,27.376,gasly,2023
3310,14,Monza,24.396,zhou,2023
3311,14,Monza,24.660,kevin_magnussen,2023
3312,14,Monza,24.212,lawson,2023
3313,14,Monza,26.095,hulkenberg,2023
3314,14,Monza,24.779,sargeant,2023
3315,14,Monza,24.538,albon,2023
3316,14,Monza,25.183,sainz,2023
3317,14,Monza,24.215,russell,2023
3318,14,Monza,24.228,max_verstappen,2023
3319,14,Monza,23.931,leclerc,2023
3320,14,Monza,25.667,stroll,2023
3321,14,Monza,23.819,perez,2023
3322,14,Monza,24.798,alonso,2023
3323,14,Monza,23.727,norris,2023
3324,14,Monza,24.133,piastri,2023
3325,14,Monza,24.249,ocon,2023
3326,14,Monza,24.658,bottas,2023
3327,14,Monza,24.255,hamilton,2023
3328,14,Monza,24.686,gasly,2023
3329,14,Monza,24.281,lawson,2023
3330,14,Monza,25.959,zhou,2023
3331,14,Monza,24.765,kevin_magnussen,2023
3332,14,Monza,24.328,hulkenberg,2023
3333,15,Singapore,30.032,zhou,2023
3334,15,Singapore,1:03.543,sargeant,2023
3335,15,Singapore,29.499,sainz,2023
3336,15,Singapore,32.888,leclerc,2023
3337,15,Singapore,29.976,russell,2023
3338,15,Singapore,29.485,norris,2023
3339,15,Singapore,32.631,hamilton,2023
3340,15,Singapore,30.670,alonso,2023
3341,15,Singapore,29.755,ocon,2023
3342,15,Singapore,31.475,kevin_magnussen,2023
3343,15,Singapore,35.497,hulkenberg,2023
3344,15,Singapore,31.802,gasly,2023
3345,15,Singapore,32.348,lawson,2023
3346,15,Singapore,29.369,piastri,2023
3347,15,Singapore,30.138,albon,2023
3348,15,Singapore,30.637,zhou,2023
3349,15,Singapore,28.977,perez,2023
3350,15,Singapore,29.698,max_verstappen,2023
3351,15,Singapore,30.487,bottas,2023
3352,15,Singapore,29.787,albon,2023
3353,15,Singapore,33.078,kevin_magnussen,2023
3354,15,Singapore,31.018,sargeant,2023
3355,15,Singapore,30.039,russell,2023
3356,15,Singapore,33.581,hamilton,2023
3357,16,Japan,50.143,albon,2023
3358,16,Japan,41.041,zhou,2023
3359,16,Japan,27.056,ocon,2023
3360,16,Japan,55.802,bottas,2023
3361,16,Japan,32.450,perez,2023
3362,16,Japan,32.715,sargeant,2023
3363,16,Japan,43.868,sargeant,2023
3364,16,Japan,53.512,bottas,2023
3365,16,Japan,23.520,hulkenberg,2023
3366,16,Japan,22.944,tsunoda,2023
3367,16,Japan,23.136,lawson,2023
3368,16,Japan,24.091,zhou,2023
3369,16,Japan,24.086,alonso,2023
3370,16,Japan,41.499,perez,2023
3371,16,Japan,23.816,kevin_magnussen,2023
3372,16,Japan,24.455,piastri,2023
3373,16,Japan,52.165,albon,2023
3374,16,Japan,23.441,stroll,2023
3375,16,Japan,41:25.913,perez,2023
3376,16,Japan,24.382,max_verstappen,2023
3377,16,Japan,24.841,hamilton,2023
3378,16,Japan,23.523,norris,2023
3379,16,Japan,23.197,leclerc,2023
3380,16,Japan,23.075,sainz,2023
3381,16,Japan,24.488,gasly,2023
3382,16,Japan,23.660,hulkenberg,2023
3383,16,Japan,35.182,sargeant,2023
3384,16,Japan,24.034,russell,2023
3385,16,Japan,24.294,alonso,2023
3386,16,Japan,23.671,lawson,2023
3387,16,Japan,23.789,ocon,2023
3388,16,Japan,24.116,zhou,2023
3389,16,Japan,23.327,tsunoda,2023
3390,16,Japan,23.858,kevin_magnussen,2023
3391,16,Japan,22.926,leclerc,2023
3392,16,Japan,23.631,hamilton,2023
3393,16,Japan,24.651,gasly,2023
3394,16,Japan,23.198,piastri,2023
3395,16,Japan,23.182,norris,2023
3396,16,Japan,23.696,max_verstappen,2023
3397,16,Japan,23.338,hulkenberg,2023
3398,16,Japan,23.374,sainz,2023
3399,17,Qatar,39.686,russell,2023
3400,17,Qatar,29.977,bottas,2023
3401,17,Qatar,28.743,kevin_magnussen,2023
3402,17,Qatar,28.886,stroll,2023
3403,17,Qatar,29.330,lawson,2023
3404,17,Qatar,27.781,tsunoda,2023
3405,17,Qatar,28.961,ocon,2023
3406,17,Qatar,28.373,alonso,2023
3407,17,Qatar,28.429,gasly,2023
3408,17,Qatar,28.875,piastri,2023
3409,17,Qatar,28.228,leclerc,2023
3410,17,Qatar,28.134,norris,2023
3411,17,Qatar,39.879,hulkenberg,2023
3412,17,Qatar,29.436,sargeant,2023
3413,17,Qatar,28.542,russell,2023
3414,17,Qatar,28.233,max_verstappen,2023
3415,17,Qatar,27.808,perez,2023
3416,17,Qatar,29.253,albon,2023
3417,17,Qatar,28.984,zhou,2023
3418,17,Qatar,29.387,bottas,2023
3419,17,Qatar,28.156,stroll,2023
3420,17,Qatar,28.948,kevin_magnussen,2023
3421,17,Qatar,28.665,lawson,2023
3422,17,Qatar,27.596,tsunoda,2023
3423,17,Qatar,27.868,piastri,2023
3424,17,Qatar,27.873,leclerc,2023
3425,17,Qatar,28.969,ocon,2023
3426,17,Qatar,28.432,alonso,2023
3427,17,Qatar,30.192,gasly,2023
3428,17,Qatar,29.373,sargeant,2023
3429,17,Qatar,27.611,norris,2023
3430,17,Qatar,28.274,hulkenberg,2023
3431,17,Qatar,33.246,perez,2023
3432,17,Qatar,28.747,albon,2023
3433,17,Qatar,28.314,russell,2023
3434,17,Qatar,28.103,max_verstappen,2023
3435,17,Qatar,28.854,zhou,2023
3436,17,Qatar,28.946,bottas,2023
3437,17,Qatar,29.399,stroll,2023
3438,17,Qatar,30.331,kevin_magnussen,2023
3439,17,Qatar,28.171,lawson,2023
3440,17,Qatar,28.591,hulkenberg,2023
3441,17,Qatar,27.809,tsunoda,2023
3442,17,Qatar,27.489,piastri,2023
3443,17,Qatar,27.513,leclerc,2023
3444,17,Qatar,29.169,ocon,2023
3445,17,Qatar,33.165,perez,2023
3446,17,Qatar,27.677,norris,2023
3447,17,Qatar,28.393,alonso,2023
3448,17,Qatar,34.856,gasly,2023
3449,17,Qatar,28.981,albon,2023
3450,17,Qatar,28.191,russell,2023
3451,17,Qatar,29.726,max_verstappen,2023
3452,18,Austin,25.636,zhou,2023
3453,18,Austin,24.563,albon,2023
3454,18,Austin,24.783,bottas,2023
3455,18,Austin,25.067,kevin_magnussen,2023
3456,18,Austin,24.990,sargeant,2023
3457,18,Austin,23.756,max_verstappen,2023
3458,18,Austin,24.155,norris,2023
3459,18,Austin,23.668,sainz,2023
3460,18,Austin,24.245,perez,2023
3461,18,Austin,24.354,tsunoda,2023
3462,18,Austin,23.900,gasly,2023
3463,18,Austin,25.055,alonso,2023
3464,18,Austin,26.573,hulkenberg,2023
3465,18,Austin,24.916,hamilton,2023
3466,18,Austin,24.457,stroll,2023
3467,18,Austin,24.357,russell,2023
3468,18,Austin,23.963,ricciardo,2023
3469,18,Austin,23.963,leclerc,2023
3470,18,Austin,24.717,zhou,2023
3471,18,Austin,25.020,bottas,2023
3472,18,Austin,24.354,albon,2023
3473,18,Austin,24.745,kevin_magnussen,2023
3474,18,Austin,25.547,sargeant,2023
3475,18,Austin,23.361,norris,2023
3476,18,Austin,24.125,tsunoda,2023
3477,18,Austin,24.308,hulkenberg,2023
3478,18,Austin,24.974,max_verstappen,2023
3479,18,Austin,23.673,sainz,2023
3480,18,Austin,23.747,perez,2023
3481,18,Austin,24.880,gasly,2023
3482,18,Austin,24.648,hamilton,2023
3483,18,Austin,23.969,russell,2023
3484,18,Austin,23.955,stroll,2023
3485,18,Austin,24.823,alonso,2023
3486,18,Austin,26.513,ricciardo,2023
3487,19,Mexico,30.121,tsunoda,2023
3488,19,Mexico,23.408,norris,2023
3489,19,Mexico,22.427,max_verstappen,2023
3490,19,Mexico,22.817,zhou,2023
3491,19,Mexico,23.945,sargeant,2023
3492,19,Mexico,23.144,hulkenberg,2023
3493,19,Mexico,23.642,kevin_magnussen,2023
3494,19,Mexico,22.210,hamilton,2023
3495,19,Mexico,23.734,piastri,2023
3496,19,Mexico,22.311,russell,2023
3497,19,Mexico,22.406,ricciardo,2023
3498,19,Mexico,22.627,gasly,2023
3499,19,Mexico,22.844,alonso,2023
3500,19,Mexico,22.067,sainz,2023
3501,19,Mexico,22.582,stroll,2023
3502,19,Mexico,22.248,leclerc,2023
3503,19,Mexico,23.638,bottas,2023
3504,19,Mexico,22.372,max_verstappen,2023
3505,19,Mexico,22.563,norris,2023
3506,19,Mexico,23.680,albon,2023
3507,19,Mexico,20:09.136,max_verstappen,2023
3508,19,Mexico,20:10.512,leclerc,2023
3509,19,Mexico,20:12.908,hamilton,2023
3510,19,Mexico,20:15.432,sainz,2023
3511,19,Mexico,20:17.136,ricciardo,2023
3512,19,Mexico,20:19.064,piastri,2023
3513,19,Mexico,20:18.200,russell,2023
3514,19,Mexico,20:18.057,tsunoda,2023
3515,19,Mexico,20:19.826,hulkenberg,2023
3516,19,Mexico,20:26.386,norris,2023
3517,19,Mexico,20:25.698,gasly,2023
3518,19,Mexico,20:27.980,albon,2023
3519,19,Mexico,20:29.539,zhou,2023
3520,19,Mexico,20:26.296,ocon,2023
3521,19,Mexico,20:27.718,sargeant,2023
3522,19,Mexico,20:29.349,bottas,2023
3523,19,Mexico,20:29.686,stroll,2023
3524,20,Brazil,18.535,max_verstappen,2023
3525,20,Brazil,19.386,norris,2023
3526,20,Brazil,18.521,hamilton,2023
3527,20,Brazil,18.487,alonso,2023
3528,20,Brazil,18.504,stroll,2023
3529,20,Brazil,20.449,russell,2023
3530,20,Brazil,20.811,perez,2023
3531,20,Brazil,23.030,sainz,2023
3532,20,Brazil,22.209,ocon,2023
3533,20,Brazil,26:24.007,piastri,2023
3534,20,Brazil,20.969,tsunoda,2023
3535,20,Brazil,20.523,gasly,2023
3536,20,Brazil,20.732,bottas,2023
3537,20,Brazil,21.256,zhou,2023
3538,20,Brazil,27.472,sargeant,2023
3539,20,Brazil,26:16.725,ricciardo,2023
3540,20,Brazil,34.261,hulkenberg,2023
3541,20,Brazil,23:22.632,max_verstappen,2023
3542,20,Brazil,23:24.611,norris,2023
3543,20,Brazil,23:26.375,hamilton,2023
3544,20,Brazil,23:28.154,alonso,2023
3545,20,Brazil,23:29.984,stroll,2023
3546,20,Brazil,23:30.984,russell,2023
3547,20,Brazil,23:31.712,perez,2023
3548,20,Brazil,23:33.704,sainz,2023
3549,20,Brazil,23:34.725,ocon,2023
3550,20,Brazil,23:35.420,tsunoda,2023
3551,20,Brazil,23:36.706,gasly,2023
3552,20,Brazil,23:38.156,bottas,2023
3553,20,Brazil,23:39.945,zhou,2023
3554,20,Brazil,23:41.207,sargeant,2023
3555,20,Brazil,23:41.069,hulkenberg,2023
3556,20,Brazil,38.489,piastri,2023
3557,20,Brazil,32.770,ricciardo,2023
3558,20,Brazil,24.037,ocon,2023
3559,20,Brazil,23.953,zhou,2023
3560,20,Brazil,24.367,sargeant,2023
3561,20,Brazil,23.571,hamilton,2023
3562,20,Brazil,24.077,bottas,2023
3563,20,Brazil,23.730,russell,2023
3564,20,Brazil,23.164,perez,2023
3565,20,Brazil,24.401,hulkenberg,2023
3566,20,Brazil,23.558,stroll,2023
3567,20,Brazil,24.204,alonso,2023
3568,20,Brazil,23.536,piastri,2023
3569,20,Brazil,23.557,sainz,2023
3570,20,Brazil,25.295,gasly,2023
3571,20,Brazil,27.114,tsunoda,2023
3572,20,Brazil,22.994,max_verstappen,2023
3573,20,Brazil,23.806,norris,2023
3574,20,Brazil,23.955,ricciardo,2023
3575,20,Brazil,24.406,ocon,2023
3576,20,Brazil,24.137,sargeant,2023
3577,20,Brazil,23.962,russell,2023
3578,20,Brazil,23.522,perez,2023
3579,20,Brazil,24.074,hamilton,2023
3580,20,Brazil,23.583,gasly,2023
3581,20,Brazil,23.841,hulkenberg,2023
3582,20,Brazil,23.830,alonso,2023
3583,20,Brazil,23.704,sainz,2023
3584,20,Brazil,23.599,ocon,2023
3585,20,Brazil,25.294,stroll,2023
3586,20,Brazil,23.338,piastri,2023
3587,20,Brazil,23.453,tsunoda,2023
3588,20,Brazil,23.397,max_verstappen,2023
3589,20,Brazil,23.508,ricciardo,2023
3590,21,Las Vegas,33.599,perez,2023
3591,21,Las Vegas,29.304,alonso,2023
3592,21,Las Vegas,43.914,bottas,2023
3593,21,Las Vegas,22.222,stroll,2023
3594,21,Las Vegas,21.261,sainz,2023
3595,21,Las Vegas,20.619,tsunoda,2023
3596,21,Las Vegas,22.154,hulkenberg,2023
3597,21,Las Vegas,21.611,kevin_magnussen,2023
3598,21,Las Vegas,21.257,russell,2023
3599,21,Las Vegas,21.367,sargeant,2023
3600,21,Las Vegas,26.686,max_verstappen,2023
3601,21,Las Vegas,21.242,albon,2023
3602,21,Las Vegas,23.269,piastri,2023
3603,21,Las Vegas,22.262,gasly,2023
