Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
RAI,Alfa Romeo,9.0,100.69600000000001,1.0,SOFT,12.0,8.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.60606060606061
RAI,Alfa Romeo,33.0,103.346,2.0,MEDIUM,24.0,8.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.095713229859573
BOT,Mercedes,12.0,100.185,1.0,SOFT,15.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.511640798226164
BOT,Mercedes,37.0,101.71300000000001,2.0,MEDIUM,25.0,4.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.7939763488544
GRO,Haas F1 Team,16.0,102.879,2.0,MEDIUM,15.0,19.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.009423503325944
KUB,Williams,11.0,103.66300000000001,1.0,MEDIUM,11.0,13.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.15428677014043
KUB,Williams,27.0,103.82900000000001,2.0,SOFT,16.0,16.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.1849593495935
GIO,Alfa Romeo,16.0,102.938,1.0,SOFT,16.0,10.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,19.020325203252032
GIO,Alfa Romeo,40.0,101.438,2.0,MEDIUM,24.0,12.0,2019,Bahrain,False,0,5.412,5,4.0,4.0,4.0,3,3,3,3,18.743163340724315
HAM,Mercedes,22.0,104.331,1.0,MEDIUM,25.0,1.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.13979086406164
HAM,Mercedes,36.0,101.694,2.0,HARD,14.0,1.0,2019,China,False,4,5.451,3,,,,3,4,2,4,18.656026417171162
BOT,Mercedes,21.0,103.863,1.0,MEDIUM,24.0,2.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.053935057787562
BOT,Mercedes,36.0,101.47000000000001,2.0,HARD,15.0,2.0,2019,China,False,4,5.451,3,,,,3,4,2,4,18.614933039809213
VET,Ferrari,18.0,105.02600000000001,1.0,MEDIUM,21.0,4.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.2672904054302
VET,Ferrari,35.0,102.34100000000001,2.0,HARD,17.0,3.0,2019,China,False,4,5.451,3,,,,3,4,2,4,18.774720234819302
