Unnamed: 0,GP,Circuit,PitstopT,Driver,Year,Team
1022,12,Portugal,25.882,albon,2020,Unknown
1023,12,Portugal,28.535,ocon,2020,Unknown
1024,13,Imola,36.189,stroll,2020,Racing Point
1025,13,Imola,30.422,grosjean,2020,Haas F1 Team
1026,13,Imola,29.745,giovinazzi,2020,Alfa Romeo
1027,13,Imola,29.707,russell,2020,Williams
1028,13,Imola,30.243,leclerc,2020,Ferrari
1029,13,Imola,29.683,norris,2020,McLaren
1030,13,Imola,30.559,ocon,2020,Unknown
1031,13,Imola,30.204,ricciardo,2020,Unknown
1032,13,Imola,29.770,albon,2020,Unknown
1033,13,Imola,30.277,kvyat,2020,AlphaTauri
1034,13,Imola,29.950,sainz,2020,McLaren
1035,13,Imola,29.427,max_verstappen,2020,Unknown
1036,13,Imola,29.600,bottas,2020,Mercedes
1037,13,Imola,29.985,perez,2020,Racing Point
1038,13,Imola,30.708,kevin_magnussen,2020,Unknown
1039,13,Imola,30.382,hamilton,2020,Mercedes
1040,13,Imola,30.566,stroll,2020,Racing Point
1041,13,Imola,29.892,latifi,2020,Williams
1042,13,Imola,40.497,vettel,2020,Ferrari
1043,13,Imola,29.863,raikkonen,2020,Alfa Romeo
1044,13,Imola,31.199,grosjean,2020,Haas F1 Team
1045,13,Imola,30.129,bottas,2020,Mercedes
1046,13,Imola,30.555,perez,2020,Racing Point
1047,13,Imola,29.809,kvyat,2020,AlphaTauri
1048,13,Imola,30.614,sainz,2020,McLaren
1049,13,Imola,30.925,hamilton,2020,Mercedes
1050,13,Imola,29.934,vettel,2020,Ferrari
1051,13,Imola,36.630,stroll,2020,Racing Point
1052,13,Imola,30.203,norris,2020,McLaren
1053,14,Turkey,25.719,ocon,2020,Unknown
1054,14,Turkey,24.275,leclerc,2020,Ferrari
1055,14,Turkey,23.398,bottas,2020,Mercedes
1056,14,Turkey,24.022,vettel,2020,Ferrari
1057,14,Turkey,23.860,hamilton,2020,Mercedes
1058,14,Turkey,30.765,raikkonen,2020,Alfa Romeo
1059,14,Turkey,24.552,kevin_magnussen,2020,Unknown
1060,14,Turkey,25.432,giovinazzi,2020,Alfa Romeo
1061,14,Turkey,23.417,kvyat,2020,AlphaTauri
1062,14,Turkey,26.686,grosjean,2020,Haas F1 Team
1063,14,Turkey,23.730,stroll,2020,Racing Point
1064,14,Turkey,24.738,latifi,2020,Williams
1065,14,Turkey,22.684,norris,2020,McLaren
1066,14,Turkey,25.163,perez,2020,Racing Point
1067,14,Turkey,23.470,ricciardo,2020,Unknown
1068,14,Turkey,23.910,sainz,2020,McLaren
1069,14,Turkey,23.669,gasly,2020,AlphaTauri
1070,14,Turkey,23.475,ocon,2020,Unknown
1071,14,Turkey,24.256,max_verstappen,2020,Unknown
1072,14,Turkey,22.602,albon,2020,Unknown
1073,14,Turkey,22.518,max_verstappen,2020,Unknown
1074,14,Turkey,23.687,leclerc,2020,Ferrari
1075,14,Turkey,31.356,raikkonen,2020,Alfa Romeo
1076,14,Turkey,23.208,ricciardo,2020,Unknown
1077,14,Turkey,22.692,russell,2020,Williams
1078,14,Turkey,25.401,vettel,2020,Ferrari
1079,14,Turkey,23.537,sainz,2020,McLaren
1080,14,Turkey,23.288,gasly,2020,AlphaTauri
1081,14,Turkey,22.490,albon,2020,Unknown
1082,14,Turkey,2:33.964,kevin_magnussen,2020,Unknown
1083,14,Turkey,23.650,stroll,2020,Racing Point
1084,14,Turkey,23.686,norris,2020,McLaren
1085,14,Turkey,31.422,grosjean,2020,Haas F1 Team
1086,14,Turkey,36.599,latifi,2020,Williams
1087,14,Turkey,22.787,max_verstappen,2020,Unknown
1088,14,Turkey,22.888,russell,2020,Williams
1089,14,Turkey,22.853,bottas,2020,Mercedes
1090,15,Bahrain,19:23.979,hamilton,2020,Mercedes
1091,15,Bahrain,19:24.529,max_verstappen,2020,Unknown
1092,15,Bahrain,19:23.442,perez,2020,Racing Point
1093,15,Bahrain,19:21.607,albon,2020,Unknown
1094,15,Bahrain,19:19.722,ricciardo,2020,Unknown
1095,15,Bahrain,19:19.205,bottas,2020,Mercedes
1096,15,Bahrain,19:20.469,gasly,2020,AlphaTauri
1097,15,Bahrain,19:20.946,ocon,2020,Unknown
1098,15,Bahrain,19:13.898,norris,2020,McLaren
1099,15,Bahrain,19:14.255,leclerc,2020,Ferrari
1100,15,Bahrain,19:14.906,giovinazzi,2020,Alfa Romeo
1101,15,Bahrain,19:14.123,stroll,2020,Racing Point
1102,15,Bahrain,19:17.291,sainz,2020,McLaren
1103,15,Bahrain,19:16.990,kevin_magnussen,2020,Unknown
1104,15,Bahrain,19:17.042,vettel,2020,Ferrari
1105,15,Bahrain,19:17.995,latifi,2020,Williams
1106,15,Bahrain,19:21.539,raikkonen,2020,Alfa Romeo
1107,15,Bahrain,19:23.297,russell,2020,Williams
1108,15,Bahrain,19:23.014,kvyat,2020,AlphaTauri
1109,15,Bahrain,38.297,kevin_magnussen,2020,Unknown
1110,15,Bahrain,24.936,bottas,2020,Mercedes
1111,15,Bahrain,24.617,ricciardo,2020,Unknown
1112,15,Bahrain,24.076,ocon,2020,Unknown
1113,15,Bahrain,37.317,kvyat,2020,AlphaTauri
1114,15,Bahrain,32.278,raikkonen,2020,Alfa Romeo
1115,15,Bahrain,24.679,norris,2020,McLaren
1116,15,Bahrain,24.061,hamilton,2020,Mercedes
1117,15,Bahrain,24.172,albon,2020,Unknown
1118,15,Bahrain,24.622,max_verstappen,2020,Unknown
1119,15,Bahrain,24.317,perez,2020,Racing Point
1120,15,Bahrain,24.029,russell,2020,Williams
1121,15,Bahrain,24.145,giovinazzi,2020,Alfa Romeo
1122,15,Bahrain,24.774,vettel,2020,Ferrari
1123,15,Bahrain,24.511,sainz,2020,McLaren
1124,15,Bahrain,24.248,latifi,2020,Williams
1125,15,Bahrain,25.199,leclerc,2020,Ferrari
1126,15,Bahrain,24.398,gasly,2020,AlphaTauri
1127,15,Bahrain,24.734,bottas,2020,Mercedes
1128,15,Bahrain,25.924,kevin_magnussen,2020,Unknown
1129,15,Bahrain,24.135,kvyat,2020,AlphaTauri
1130,15,Bahrain,26.950,max_verstappen,2020,Unknown
1131,15,Bahrain,23.848,albon,2020,Unknown
1132,15,Bahrain,25.254,ocon,2020,Unknown
1133,15,Bahrain,24.345,hamilton,2020,Mercedes
1134,15,Bahrain,24.589,perez,2020,Racing Point
1135,15,Bahrain,24.817,ricciardo,2020,Unknown
1136,15,Bahrain,24.024,latifi,2020,Williams
1137,15,Bahrain,24.666,norris,2020,McLaren
1138,15,Bahrain,24.675,bottas,2020,Mercedes
1139,15,Bahrain,25.502,sainz,2020,McLaren
1140,15,Bahrain,27.146,russell,2020,Williams
1141,15,Bahrain,25.444,vettel,2020,Ferrari
1142,15,Bahrain,24.855,leclerc,2020,Ferrari
1143,15,Bahrain,25.270,raikkonen,2020,Alfa Romeo
1144,15,Bahrain,23.906,max_verstappen,2020,Unknown
1145,15,Bahrain,24.836,giovinazzi,2020,Alfa Romeo
1146,16,Bahrain,24.214,perez,2020,Racing Point
1147,16,Bahrain,24.885,norris,2020,McLaren
1148,16,Bahrain,28.518,raikkonen,2020,Alfa Romeo
1149,16,Bahrain,24.810,giovinazzi,2020,Alfa Romeo
1150,16,Bahrain,25.474,kevin_magnussen,2020,Unknown
1151,16,Bahrain,24.101,kvyat,2020,AlphaTauri
1152,16,Bahrain,24.297,latifi,2020,Williams
1153,16,Bahrain,24.162,sainz,2020,McLaren
1154,16,Bahrain,25.077,gasly,2020,AlphaTauri
1155,16,Bahrain,24.474,ricciardo,2020,Unknown
1156,16,Bahrain,26.216,vettel,2020,Ferrari
1157,16,Bahrain,24.863,aitken,2020,Unknown
1158,16,Bahrain,27.681,pietro_fittipaldi,2020,Unknown
1159,16,Bahrain,24.414,ocon,2020,Unknown
1160,16,Bahrain,24.684,stroll,2020,Racing Point
1161,16,Bahrain,24.708,russell,2020,Williams
1162,16,Bahrain,24.507,perez,2020,Racing Point
1163,16,Bahrain,23.874,albon,2020,Unknown
1164,16,Bahrain,24.552,bottas,2020,Mercedes
1165,16,Bahrain,24.577,gasly,2020,AlphaTauri
1166,16,Bahrain,24.232,kvyat,2020,AlphaTauri
1167,16,Bahrain,24.245,norris,2020,McLaren
1168,16,Bahrain,26.393,pietro_fittipaldi,2020,Unknown
1169,16,Bahrain,28.080,vettel,2020,Ferrari
1170,16,Bahrain,24.551,giovinazzi,2020,Alfa Romeo
1171,16,Bahrain,25.466,kevin_magnussen,2020,Unknown
1172,16,Bahrain,25.688,aitken,2020,Unknown
1173,16,Bahrain,24.401,raikkonen,2020,Alfa Romeo
1174,16,Bahrain,24.853,sainz,2020,McLaren
1175,16,Bahrain,24.695,ricciardo,2020,Unknown
1176,16,Bahrain,40.028,aitken,2020,Unknown
1177,16,Bahrain,28.765,russell,2020,Williams
1178,16,Bahrain,52.874,bottas,2020,Mercedes
1179,16,Bahrain,23.645,albon,2020,Unknown
1180,16,Bahrain,24.724,russell,2020,Williams
1181,16,Bahrain,24.686,raikkonen,2020,Alfa Romeo
1182,16,Bahrain,24.809,vettel,2020,Ferrari
1183,16,Bahrain,25.780,pietro_fittipaldi,2020,Unknown
1184,17,Abu Dhabi,21.289,max_verstappen,2020,Unknown
1185,17,Abu Dhabi,21.587,bottas,2020,Mercedes
1186,17,Abu Dhabi,22.406,hamilton,2020,Mercedes
1187,17,Abu Dhabi,21.508,albon,2020,Unknown
1188,17,Abu Dhabi,21.840,norris,2020,McLaren
1189,17,Abu Dhabi,22.140,sainz,2020,McLaren
1190,17,Abu Dhabi,22.036,stroll,2020,Racing Point
1191,17,Abu Dhabi,22.000,gasly,2020,AlphaTauri
1192,17,Abu Dhabi,25.724,kvyat,2020,AlphaTauri
1193,17,Abu Dhabi,21.615,ocon,2020,Unknown
1194,17,Abu Dhabi,22.012,raikkonen,2020,Alfa Romeo
1195,17,Abu Dhabi,22.085,russell,2020,Williams
1196,17,Abu Dhabi,26.329,pietro_fittipaldi,2020,Unknown
1197,17,Abu Dhabi,21.357,latifi,2020,Williams
1198,17,Abu Dhabi,22.178,leclerc,2020,Ferrari
1199,17,Abu Dhabi,21.480,giovinazzi,2020,Alfa Romeo
1200,17,Abu Dhabi,22.714,kevin_magnussen,2020,Unknown
1201,17,Abu Dhabi,28.501,pietro_fittipaldi,2020,Unknown
1202,17,Abu Dhabi,22.040,vettel,2020,Ferrari
1203,17,Abu Dhabi,22.384,latifi,2020,Williams
1204,17,Abu Dhabi,22.123,ricciardo,2020,Unknown
1205,17,Abu Dhabi,23.098,kevin_magnussen,2020,Unknown
1206,1,Bahrain,23.993,perez,2021,Red Bull Racing
1207,1,Bahrain,38.338,gasly,2021,AlphaTauri
1208,1,Bahrain,24.373,alonso,2021,Alpine
1209,1,Bahrain,24.899,norris,2021,McLaren
1210,1,Bahrain,24.925,leclerc,2021,Ferrari
1211,1,Bahrain,24.884,stroll,2021,Aston Martin
1212,1,Bahrain,31.998,giovinazzi,2021,Alfa Romeo
1213,1,Bahrain,24.839,hamilton,2021,Mercedes
1214,1,Bahrain,24.688,ricciardo,2021,McLaren
1215,1,Bahrain,24.107,raikkonen,2021,Alfa Romeo
1216,1,Bahrain,25.226,ocon,2021,Alpine
1217,1,Bahrain,24.621,russell,2021,Williams
1218,1,Bahrain,26.046,latifi,2021,Williams
1219,1,Bahrain,25.798,mick_schumacher,2021,Unknown
1220,1,Bahrain,24.353,sainz,2021,Ferrari
1221,1,Bahrain,25.046,tsunoda,2021,AlphaTauri
1222,1,Bahrain,24.262,bottas,2021,Mercedes
1223,1,Bahrain,24.767,max_verstappen,2021,Unknown
1224,1,Bahrain,24.105,perez,2021,Red Bull Racing
1225,1,Bahrain,24.317,gasly,2021,AlphaTauri
1226,1,Bahrain,24.626,vettel,2021,Aston Martin
1227,1,Bahrain,24.076,hamilton,2021,Mercedes
1228,1,Bahrain,25.525,stroll,2021,Aston Martin
1229,1,Bahrain,24.046,raikkonen,2021,Alfa Romeo
1230,1,Bahrain,24.775,alonso,2021,Alpine
1231,1,Bahrain,32.897,bottas,2021,Mercedes
1232,1,Bahrain,24.223,giovinazzi,2021,Alfa Romeo
1233,1,Bahrain,24.471,ocon,2021,Alpine
1234,1,Bahrain,24.176,leclerc,2021,Ferrari
1235,1,Bahrain,24.655,ricciardo,2021,McLaren
1236,1,Bahrain,23.983,latifi,2021,Williams
1237,1,Bahrain,25.640,norris,2021,McLaren
1238,1,Bahrain,24.328,tsunoda,2021,AlphaTauri
1239,1,Bahrain,25.343,mick_schumacher,2021,Unknown
1240,1,Bahrain,24.248,russell,2021,Williams
1241,1,Bahrain,24.341,sainz,2021,Ferrari
1242,1,Bahrain,24.191,perez,2021,Red Bull Racing
1243,1,Bahrain,23.848,max_verstappen,2021,Unknown
1244,1,Bahrain,24.983,gasly,2021,AlphaTauri
1245,2,Imola,30.866,ocon,2021,Alpine
1246,2,Imola,32.024,vettel,2021,Aston Martin
1247,2,Imola,51.007,mick_schumacher,2021,Unknown
1248,2,Imola,31.168,mazepin,2021,Haas F1 Team
1249,2,Imola,31.068,gasly,2021,AlphaTauri
1250,2,Imola,31.184,vettel,2021,Aston Martin
1251,2,Imola,32.479,mick_schumacher,2021,Unknown
1252,2,Imola,39.502,vettel,2021,Aston Martin
1253,2,Imola,31.500,mazepin,2021,Haas F1 Team
1254,2,Imola,30.696,tsunoda,2021,AlphaTauri
1255,2,Imola,29.983,russell,2021,Williams
1256,2,Imola,30.280,raikkonen,2021,Alfa Romeo
1257,2,Imola,29.809,max_verstappen,2021,Unknown
1258,2,Imola,32.277,gasly,2021,AlphaTauri
1259,2,Imola,30.856,sainz,2021,Ferrari
1260,2,Imola,34.340,ricciardo,2021,McLaren
1261,2,Imola,31.138,stroll,2021,Aston Martin
1262,2,Imola,32.112,hamilton,2021,Mercedes
1263,2,Imola,32.299,giovinazzi,2021,Alfa Romeo
1264,2,Imola,30.652,ocon,2021,Alpine
1265,2,Imola,31.002,leclerc,2021,Ferrari
1266,2,Imola,44.608,perez,2021,Red Bull Racing
1267,2,Imola,30.654,norris,2021,McLaren
1268,2,Imola,30.167,bottas,2021,Mercedes
1269,2,Imola,30.864,alonso,2021,Alpine
1270,2,Imola,38.198,hamilton,2021,Mercedes
1271,2,Imola,30.701,ocon,2021,Alpine
1272,2,Imola,27:01.361,max_verstappen,2021,Unknown
1273,2,Imola,24:52.090,stroll,2021,Aston Martin
1274,2,Imola,24:52.612,raikkonen,2021,Alfa Romeo
1275,2,Imola,24:54.731,hamilton,2021,Mercedes
1276,2,Imola,25:21.462,mick_schumacher,2021,Unknown
1277,2,Imola,24:51.384,tsunoda,2021,AlphaTauri
1278,2,Imola,24:56.541,giovinazzi,2021,Alfa Romeo
1279,2,Imola,26:49.484,leclerc,2021,Ferrari
1280,2,Imola,24:48.372,alonso,2021,Alpine
1281,2,Imola,24:38.974,ocon,2021,Alpine
1282,2,Imola,24:46.154,mazepin,2021,Haas F1 Team
1283,2,Imola,26:24.953,norris,2021,McLaren
1284,2,Imola,26:21.158,perez,2021,Red Bull Racing
1285,2,Imola,26:22.211,sainz,2021,Ferrari
1286,2,Imola,24:13.539,gasly,2021,AlphaTauri
1287,2,Imola,24:12.323,vettel,2021,Aston Martin
1288,2,Imola,26:14.827,ricciardo,2021,McLaren
1289,2,Imola,1:05.390,stroll,2021,Aston Martin
1290,2,Imola,1:02.892,raikkonen,2021,Alfa Romeo
1291,2,Imola,1:05.870,hamilton,2021,Mercedes
1292,2,Imola,1:03.280,tsunoda,2021,AlphaTauri
1293,2,Imola,1:00.172,giovinazzi,2021,Alfa Romeo
1294,2,Imola,57.601,alonso,2021,Alpine
1295,2,Imola,56.733,ocon,2021,Alpine
1296,2,Imola,56.083,gasly,2021,AlphaTauri
1297,2,Imola,52.043,vettel,2021,Aston Martin
1298,2,Imola,51.222,mick_schumacher,2021,Unknown
1299,2,Imola,49.729,mazepin,2021,Haas F1 Team
1300,3,Portugal,21.377,bottas,2021,Mercedes
1301,3,Portugal,22.426,hamilton,2021,Mercedes
1302,3,Portugal,22.718,max_verstappen,2021,Unknown
1303,3,Portugal,22.029,sainz,2021,Ferrari
1304,3,Portugal,21.890,perez,2021,Red Bull Racing
1305,3,Portugal,21.407,norris,2021,McLaren
1306,3,Portugal,21.275,ocon,2021,Alpine
1307,3,Portugal,21.323,leclerc,2021,Ferrari
1308,3,Portugal,21.353,gasly,2021,AlphaTauri
1309,3,Portugal,21.398,vettel,2021,Aston Martin
1310,3,Portugal,23.532,russell,2021,Williams
1311,3,Portugal,22.485,giovinazzi,2021,Alfa Romeo
1312,3,Portugal,21.965,ricciardo,2021,McLaren
1313,3,Portugal,21.452,alonso,2021,Alpine
1314,3,Portugal,22.266,tsunoda,2021,AlphaTauri
1315,3,Portugal,22.264,stroll,2021,Aston Martin
1316,3,Portugal,21.970,latifi,2021,Williams
1317,3,Portugal,22.019,mick_schumacher,2021,Unknown
1318,3,Portugal,21.372,mazepin,2021,Haas F1 Team
1319,3,Portugal,22.072,bottas,2021,Mercedes
1320,3,Portugal,22.164,hamilton,2021,Mercedes
1321,3,Portugal,22.104,max_verstappen,2021,Unknown
1322,3,Portugal,22.244,sainz,2021,Ferrari
1323,3,Portugal,22.100,perez,2021,Red Bull Racing
1324,3,Portugal,22.551,norris,2021,McLaren
1325,3,Portugal,22.240,ocon,2021,Alpine
1326,3,Portugal,22.587,leclerc,2021,Ferrari
1327,3,Portugal,22.319,gasly,2021,AlphaTauri
1328,3,Portugal,21.750,vettel,2021,Aston Martin
1329,3,Portugal,22.755,russell,2021,Williams
1330,3,Portugal,22.669,giovinazzi,2021,Alfa Romeo
1331,3,Portugal,22.355,ricciardo,2021,McLaren
1332,3,Portugal,21.621,alonso,2021,Alpine
1333,3,Portugal,22.542,tsunoda,2021,AlphaTauri
1334,3,Portugal,22.176,stroll,2021,Aston Martin
1335,3,Portugal,21.730,latifi,2021,Williams
1336,3,Portugal,21.454,mick_schumacher,2021,Unknown
1337,3,Portugal,21.404,mazepin,2021,Haas F1 Team
1338,3,Portugal,25.892,sainz,2021,Ferrari
1339,3,Portugal,26.202,tsunoda,2021,AlphaTauri
1340,3,Portugal,26.952,norris,2021,McLaren
1341,3,Portugal,27.033,ocon,2021,Alpine
1342,3,Portugal,26.620,vettel,2021,Aston Martin
1343,3,Portugal,26.729,giovinazzi,2021,Alfa Romeo
1344,3,Portugal,26.172,gasly,2021,AlphaTauri
1345,3,Portugal,26.595,latifi,2021,Williams
1346,3,Portugal,27.082,leclerc,2021,Ferrari
1347,3,Portugal,26.843,russell,2021,Williams
1348,3,Portugal,27.186,mazepin,2021,Haas F1 Team
1349,3,Portugal,27.245,mick_schumacher,2021,Unknown
1350,3,Portugal,26.743,max_verstappen,2021,Unknown
1351,3,Portugal,26.938,bottas,2021,Mercedes
1352,3,Portugal,26.907,hamilton,2021,Mercedes
1353,3,Portugal,26.027,stroll,2021,Aston Martin
1354,3,Portugal,26.442,alonso,2021,Alpine
1355,3,Portugal,28.639,ricciardo,2021,McLaren
1356,3,Portugal,26.984,mazepin,2021,Haas F1 Team
1357,3,Portugal,26.607,perez,2021,Red Bull Racing
1358,3,Portugal,26.573,bottas,2021,Mercedes
1359,4,Spain,54.673,giovinazzi,2021,Alfa Romeo
1360,4,Spain,23.814,russell,2021,Williams
1361,4,Spain,26.672,latifi,2021,Williams
1362,4,Spain,28.042,gasly,2021,AlphaTauri
1363,4,Spain,22.043,alonso,2021,Alpine
1364,4,Spain,23.087,vettel,2021,Aston Martin
1365,4,Spain,21.779,sainz,2021,Ferrari
1366,4,Spain,21.756,stroll,2021,Aston Martin
1367,4,Spain,23.098,mazepin,2021,Haas F1 Team
1368,4,Spain,22.311,bottas,2021,Mercedes
1369,4,Spain,22.798,ocon,2021,Alpine
1370,4,Spain,21.864,norris,2021,McLaren
1371,4,Spain,24.006,mick_schumacher,2021,Unknown
1372,4,Spain,23.565,max_verstappen,2021,Unknown
1373,4,Spain,22.406,ricciardo,2021,McLaren
1374,4,Spain,22.382,perez,2021,Red Bull Racing
1375,4,Spain,21.424,latifi,2021,Williams
1376,4,Spain,22.220,hamilton,2021,Mercedes
1377,4,Spain,21.613,leclerc,2021,Ferrari
1378,4,Spain,21.919,russell,2021,Williams
1379,4,Spain,21.572,raikkonen,2021,Alfa Romeo
1380,4,Spain,21.973,vettel,2021,Aston Martin
1381,4,Spain,21.432,stroll,2021,Aston Martin
1382,4,Spain,22.871,giovinazzi,2021,Alfa Romeo
1383,4,Spain,22.078,hamilton,2021,Mercedes
1384,4,Spain,22.502,mazepin,2021,Haas F1 Team
1385,4,Spain,21.762,ricciardo,2021,McLaren
1386,4,Spain,21.856,sainz,2021,Ferrari
1387,4,Spain,26.065,gasly,2021,AlphaTauri
1388,4,Spain,22.405,latifi,2021,Williams
1389,4,Spain,22.310,mick_schumacher,2021,Unknown
1390,4,Spain,22.467,norris,2021,McLaren
1391,4,Spain,21.638,bottas,2021,Mercedes
1392,4,Spain,21.345,perez,2021,Red Bull Racing
1393,4,Spain,22.292,leclerc,2021,Ferrari
1394,4,Spain,21.592,max_verstappen,2021,Unknown
1395,5,Monaco,23.783,hamilton,2021,Mercedes
1396,5,Monaco,23.874,norris,2021,McLaren
1397,5,Monaco,24.428,gasly,2021,AlphaTauri
1398,5,Monaco,24.369,vettel,2021,Aston Martin
1399,5,Monaco,23.928,russell,2021,Williams
1400,5,Monaco,24.150,sainz,2021,Ferrari
1401,5,Monaco,24.521,giovinazzi,2021,Alfa Romeo
1402,5,Monaco,23.746,max_verstappen,2021,Unknown
1403,5,Monaco,24.548,perez,2021,Red Bull Racing
1404,5,Monaco,25.202,mazepin,2021,Haas F1 Team
1405,5,Monaco,24.715,ricciardo,2021,McLaren
1406,5,Monaco,23.935,ocon,2021,Alpine
1407,5,Monaco,24.797,mick_schumacher,2021,Unknown
1408,5,Monaco,24.077,raikkonen,2021,Alfa Romeo
1409,5,Monaco,23.703,latifi,2021,Williams
1410,5,Monaco,23.803,alonso,2021,Alpine
1411,5,Monaco,23.474,stroll,2021,Aston Martin
1412,5,Monaco,24.430,tsunoda,2021,AlphaTauri
1413,6,Azerbaijan,19.970,russell,2021,Williams
1414,6,Azerbaijan,20.402,giovinazzi,2021,Alfa Romeo
1415,6,Azerbaijan,20.168,alonso,2021,Alpine
1416,6,Azerbaijan,20.533,norris,2021,McLaren
1417,6,Azerbaijan,22.440,mick_schumacher,2021,Unknown
1418,6,Azerbaijan,19.836,leclerc,2021,Ferrari
1419,6,Azerbaijan,20.253,tsunoda,2021,AlphaTauri
1420,6,Azerbaijan,22.149,latifi,2021,Williams
1421,6,Azerbaijan,21.759,mazepin,2021,Haas F1 Team
1422,6,Azerbaijan,20.064,sainz,2021,Ferrari
1423,6,Azerbaijan,22.470,hamilton,2021,Mercedes
1424,6,Azerbaijan,20.156,gasly,2021,AlphaTauri
1425,6,Azerbaijan,20.356,bottas,2021,Mercedes
1426,6,Azerbaijan,20.082,ricciardo,2021,McLaren
1427,6,Azerbaijan,19.769,max_verstappen,2021,Unknown
1428,6,Azerbaijan,21.874,perez,2021,Red Bull Racing
1429,6,Azerbaijan,20.048,raikkonen,2021,Alfa Romeo
1430,6,Azerbaijan,19.841,vettel,2021,Aston Martin
1431,6,Azerbaijan,19.983,alonso,2021,Alpine
1432,6,Azerbaijan,20.193,giovinazzi,2021,Alfa Romeo
1433,6,Azerbaijan,20.029,russell,2021,Williams
1434,6,Azerbaijan,1:09.761,mick_schumacher,2021,Unknown
1435,6,Azerbaijan,21.958,mazepin,2021,Haas F1 Team
1436,6,Azerbaijan,21.587,mick_schumacher,2021,Unknown
1437,6,Azerbaijan,24.780,mazepin,2021,Haas F1 Team
1438,6,Azerbaijan,15.277,perez,2021,Red Bull Racing
1439,6,Azerbaijan,15.432,hamilton,2021,Mercedes
1440,6,Azerbaijan,14.945,vettel,2021,Aston Martin
1441,6,Azerbaijan,15.085,gasly,2021,AlphaTauri
1442,6,Azerbaijan,15.092,leclerc,2021,Ferrari
1443,6,Azerbaijan,14.943,tsunoda,2021,AlphaTauri
1444,6,Azerbaijan,15.866,norris,2021,McLaren
1445,6,Azerbaijan,15.119,sainz,2021,Ferrari
1446,6,Azerbaijan,14.994,ricciardo,2021,McLaren
1447,6,Azerbaijan,15.432,alonso,2021,Alpine
1448,6,Azerbaijan,15.064,raikkonen,2021,Alfa Romeo
1449,6,Azerbaijan,14.881,giovinazzi,2021,Alfa Romeo
1450,6,Azerbaijan,21.346,bottas,2021,Mercedes
1451,6,Azerbaijan,21.438,russell,2021,Williams
1452,6,Azerbaijan,15.054,mazepin,2021,Haas F1 Team
1453,6,Azerbaijan,15.058,mick_schumacher,2021,Unknown
1454,6,Azerbaijan,33:18.466,perez,2021,Red Bull Racing
1455,6,Azerbaijan,33:20.923,hamilton,2021,Mercedes
1456,6,Azerbaijan,33:20.416,vettel,2021,Aston Martin
1457,6,Azerbaijan,33:21.830,gasly,2021,AlphaTauri
1458,6,Azerbaijan,33:22.544,leclerc,2021,Ferrari
1459,6,Azerbaijan,33:23.526,tsunoda,2021,AlphaTauri
1460,6,Azerbaijan,33:30.409,norris,2021,McLaren
1461,6,Azerbaijan,33:32.724,sainz,2021,Ferrari
1462,6,Azerbaijan,33:35.163,ricciardo,2021,McLaren
1463,6,Azerbaijan,33:34.526,alonso,2021,Alpine
1464,6,Azerbaijan,33:36.437,raikkonen,2021,Alfa Romeo
1465,6,Azerbaijan,33:37.324,giovinazzi,2021,Alfa Romeo
1466,6,Azerbaijan,34:08.175,latifi,2021,Williams
1467,6,Azerbaijan,33:55.229,bottas,2021,Mercedes
1468,6,Azerbaijan,33:56.172,russell,2021,Williams
1469,6,Azerbaijan,30:28.965,mazepin,2021,Haas F1 Team
1470,6,Azerbaijan,33:34.176,mick_schumacher,2021,Unknown
1471,7,France,30.798,leclerc,2021,Ferrari
1472,7,France,30.226,tsunoda,2021,AlphaTauri
1473,7,France,31.457,mick_schumacher,2021,Unknown
1474,7,France,29.951,ricciardo,2021,McLaren
1475,7,France,30.572,bottas,2021,Mercedes
1476,7,France,30.534,sainz,2021,Ferrari
1477,7,France,30.781,gasly,2021,AlphaTauri
1478,7,France,30.092,russell,2021,Williams
1479,7,France,29.803,max_verstappen,2021,Unknown
1480,7,France,31.288,alonso,2021,Alpine
1481,7,France,29.775,latifi,2021,Williams
1482,7,France,30.263,hamilton,2021,Mercedes
1483,7,France,29.682,perez,2021,Red Bull Racing
1484,7,France,30.531,norris,2021,McLaren
1485,7,France,30.207,ocon,2021,Alpine
1486,7,France,30.586,giovinazzi,2021,Alfa Romeo
1487,7,France,30.983,mazepin,2021,Haas F1 Team
1488,7,France,30.123,max_verstappen,2021,Unknown
1489,7,France,31.327,raikkonen,2021,Alfa Romeo
1490,7,France,30.996,stroll,2021,Aston Martin
1491,7,France,31.069,vettel,2021,Aston Martin
1492,8,Austria,28.386,leclerc,2021,Ferrari
1493,8,Austria,26.419,latifi,2021,Williams
1494,8,Austria,22.759,mazepin,2021,Haas F1 Team
1495,8,Austria,21.210,giovinazzi,2021,Alfa Romeo
1496,8,Austria,37.309,russell,2021,Williams
1497,8,Austria,23.477,perez,2021,Red Bull Racing
1498,8,Austria,21.953,latifi,2021,Williams
1499,8,Austria,21.234,tsunoda,2021,AlphaTauri
1500,8,Austria,46.315,russell,2021,Williams
1501,8,Austria,21.752,bottas,2021,Mercedes
1502,8,Austria,21.131,alonso,2021,Alpine
1503,8,Austria,21.546,vettel,2021,Aston Martin
1504,8,Austria,21.219,hamilton,2021,Mercedes
1505,8,Austria,20.936,stroll,2021,Aston Martin
1506,8,Austria,20.936,max_verstappen,2021,Unknown
1507,8,Austria,21.692,norris,2021,McLaren
